#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2019-05-01,18,15,14,16,17,16,0,68,10,1015,6.375,18,12,16,113,113,113,0,5,14.1,météo favorable,19:37:00,05:31:00,16
2019-05-02,18,15,21,15,18,17,0.2,78,10,1015,19.5,18,12,15,113,113,113,0,5,14.1,météo favorable,19:39:00,05:29:00,15
2019-05-03,18,15,34,15,18,16,0,60,10,1012,46.625,18,9,15,116,116,116,0,5,14.1,météo favorable,19:40:00,05:28:00,15
2019-05-04,19,14,36,14,18,18,0,72,10,1008,9.625,19,9,13,113,113,113,0,5,14.1,météo favorable,19:41:00,05:27:00,14
2019-05-05,15,10,67,10,15,14,0,55,10,1011,2.125,15,3,4,113,113,113,0,4,14.2,météo correcte,19:42:00,05:25:00,10
2019-05-06,16,10,19,11,16,16,0,50,10,1018,6.625,16,7,8,113,113,113,0,4,14.2,météo correcte,19:43:00,05:24:00,10
2019-05-07,16,13,22,13,16,15,0,61,10,1019,34,16,11,13,113,113,116,0,4,14.2,météo correcte,19:44:00,05:23:00,13
2019-05-08,15,14,28,15,15,15,1.9,88,5,1017,82.375,15,13,13,119,266,266,0,3,8.9,météo défavorable,19:45:00,05:21:00,14
2019-05-09,18,14,36,15,18,16,0.6,71,9.375,1011,18.625,18,11,13,113,113,113,0,4,14.3,météo favorable,19:46:00,05:20:00,14
2019-05-10,19,14,23,15,19,18,0.2,75,9.875,1015,17.75,19,12,15,113,113,116,0,5,14.3,météo favorable,19:48:00,05:19:00,14
2019-05-11,20,16,35,17,20,19,0,72,10,1017,20.5,20,12,17,113,116,113,0,5,14.3,météo favorable,19:49:00,05:18:00,17
2019-05-12,20,14,50,14,20,19,0,57,10,1018,3.25,20,11,11,113,113,113,0,5,14.3,météo favorable,19:50:00,05:17:00,14
2019-05-13,20,14,18,16,20,18,0,55,10,1020,24.25,20,11,16,116,116,116,0,5,14.4,météo favorable,19:51:00,05:16:00,14
2019-05-14,19,16,20,17,19,17,0,69,10,1020,8.75,19,12,17,113,113,113,0,5,14.4,météo favorable,19:52:00,05:14:00,16
2019-05-15,15,12,43,12,15,14,0.4,74,9.875,1015,34.75,15,10,9,119,353,113,0,4,12.3,météo correcte,19:53:00,05:13:00,14
2019-05-16,18,13,19,15,17,16,0,61,10,1014,17,18,9,15,113,116,116,0,5,14.4,météo favorable,19:54:00,05:12:00,14
2019-05-17,16,14,37,15,16,15,0.6,74,9.375,1009,34,16,11,13,113,116,263,0,5,14.4,météo correcte,19:55:00,05:11:00,14
2019-05-18,17,14,18,14,17,16,2,74,7,1008,54.625,17,11,13,266,176,176,0,4,13.4,météo correcte,19:56:00,05:10:00,14
2019-05-19,16,14,27,14,16,15,1.7,78,7,1007,82.375,16,11,13,122,122,116,0,4,10.1,météo défavorable,19:57:00,05:09:00,14
2019-05-20,19,14,30,15,19,18,2,74,9.125,1010,45,19,12,15,116,116,176,0,4,14.5,météo favorable,19:58:00,05:08:00,14
2019-05-21,20,15,38,16,20,19,0,71,10,1014,12.75,20,12,16,113,113,116,0,5,14.5,météo favorable,19:59:00,05:08:00,15
2019-05-22,19,16,12,17,19,19,1.4,81,9.75,1017,20.5,19,14,17,116,176,113,0,5,14.5,météo favorable,20:00:00,05:07:00,16
2019-05-23,20,17,13,17,19,19,0.1,81,10,1017,2.5,20,15,17,113,113,113,0,5,14.5,météo favorable,20:01:00,05:06:00,18
2019-05-24,20,17,14,18,20,19,0,77,10,1015,17.625,20,14,18,116,113,113,0,5,14.5,météo favorable,20:02:00,05:05:00,17
2019-05-25,20,17,13,17,20,19,0,76,10,1015,62.5,20,14,17,122,119,119,0,5,10.4,météo correcte,20:03:00,05:04:00,17
2019-05-26,21,17,11,17,21,20,6,80,9.625,1014,25.875,21,15,17,116,176,353,0,5,14.5,météo favorable,20:04:00,05:03:00,17
2019-05-27,21,17,15,18,20,20,0,76,10,1010,26.75,21,15,18,113,116,116,0,5,14.5,météo favorable,20:05:00,05:03:00,17
2019-05-28,20,17,49,18,20,19,0,70,10,1010,22,20,13,18,113,116,113,0,5,14.5,météo favorable,20:05:00,05:02:00,18
2019-05-29,21,15,47,16,21,20,0,61,10,1018,3.125,24,11,16,113,113,113,0,5,14.5,météo favorable,20:06:00,05:01:00,15
2019-05-30,22,16,15,18,21,20,0,61,10,1023,4.875,25,13,18,113,113,113,0,6,14.5,météo favorable,20:07:00,05:01:00,16
2019-05-31,21,17,15,18,21,20,0,67,10,1024,4.25,21,14,18,113,113,113,0,5,14.5,météo favorable,20:08:00,05:00:00,17
