#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2018-05-01,16,14,10,15,16,14,1,69,9,1013,50,16,10,15,116,116,119,0,5,12.2,météo correcte,19:38:00,05:30:00,15
2018-05-02,18,13,22,14,18,18,0.8,70,8.375,1010,52.375,18,10,13,266,116,116,0,4,13.4,météo favorable,19:39:00,05:29:00,13
2018-05-03,21,15,17,16,21,19,0.1,67,10,1006,39.375,21,14,16,116,113,119,0,5,13.4,météo favorable,19:40:00,05:28:00,15
2018-05-04,21,17,13,17,21,19,6.9,80,8,1012,43.375,21,15,17,293,176,356,0,5,14.2,météo favorable,19:41:00,05:26:00,17
2018-05-05,21,17,9,18,21,20,0.6,74,9.75,1017,27.75,24,15,18,116,176,176,0,6,14.2,météo favorable,19:42:00,05:25:00,17
2018-05-06,20,18,7,19,20,19,5.1,76,9.625,1017,41.875,20,16,19,200,353,353,0,5,14.2,météo correcte,19:43:00,05:24:00,18
2018-05-07,20,18,9,18,20,19,4.4,83,9.375,1016,39.5,20,16,18,116,176,353,0,4,14.2,météo favorable,19:44:00,05:22:00,18
2018-05-08,20,18,21,18,20,19,3.7,84,8.875,1013,22.5,20,16,18,263,176,176,0,4,14.3,météo favorable,19:46:00,05:21:00,18
2018-05-09,20,17,8,18,20,20,2.6,78,9.75,1007,35.625,20,16,18,113,176,353,0,5,12.3,météo favorable,19:47:00,05:20:00,17
2018-05-10,21,17,26,18,21,21,2.8,82,9.5,1014,17.5,24,16,18,176,113,113,0,5,14.3,météo favorable,19:48:00,05:19:00,17
2018-05-11,19,17,20,18,19,18,0,75,10,1018,0.625,19,14,18,113,113,113,0,5,14.3,météo favorable,19:49:00,05:18:00,17
2018-05-12,19,16,17,17,19,18,0,80,10,1017,15.375,19,14,17,116,113,113,0,5,14.3,météo favorable,19:50:00,05:16:00,16
2018-05-13,17,11,35,16,12,12,11.7,87,9.125,1013,71.125,17,13,9,122,305,353,0,4,11.2,météo défavorable,19:51:00,05:15:00,16
2018-05-14,15,11,41,12,14,15,6.7,76,8.75,1014,57.375,15,8,8,302,263,122,0,3,12.3,météo correcte,19:52:00,05:14:00,11
2018-05-15,19,13,31,14,18,19,0,78,10,1014,32,19,13,11,116,116,116,0,5,14.4,météo favorable,19:53:00,05:13:00,13
2018-05-16,19,15,14,16,19,18,0.6,70,9.75,1014,44.25,19,14,16,119,116,176,0,5,12.3,météo favorable,19:54:00,05:12:00,15
2018-05-17,19,15,10,16,18,18,1.1,80,9.875,1016,20.125,19,14,16,116,113,113,0,5,14.4,météo favorable,19:55:00,05:11:00,15
2018-05-18,20,17,13,18,19,20,2.7,78,9.625,1017,8.875,20,15,18,113,113,176,0,5,14.5,météo favorable,19:56:00,05:10:00,17
2018-05-19,21,17,12,18,21,21,0.2,80,9.875,1016,15.625,21,15,18,113,113,113,0,5,14.5,météo favorable,19:57:00,05:09:00,17
2018-05-20,21,18,15,19,21,21,0.8,73,9.75,1016,10.125,24,15,19,176,113,113,0,6,14.5,météo favorable,19:58:00,05:08:00,18
2018-05-21,20,17,24,19,20,19,0.7,74,9.375,1014,37,20,15,19,116,116,263,0,5,14.5,météo favorable,19:59:00,05:07:00,18
2018-05-22,19,17,15,17,19,19,12.7,80,9,1016,79.125,19,14,17,302,353,176,0,4,10.4,météo défavorable,20:00:00,05:06:00,17
2018-05-23,21,17,19,18,21,20,0.1,80,10,1019,14.875,21,15,18,113,113,113,0,5,14.5,météo favorable,20:01:00,05:06:00,17
2018-05-24,22,18,15,20,21,21,0,74,10,1019,10.125,25,15,20,113,113,113,0,6,14.5,météo favorable,20:02:00,05:05:00,18
2018-05-25,25,19,14,21,24,23,0,71,10,1017,4.625,26,17,21,113,113,113,0,6,14.5,météo idéale,20:03:00,05:04:00,19
2018-05-26,24,20,24,21,24,22,0,77,10,1019,19.75,25,17,21,116,113,113,0,6,14.5,météo idéale,20:04:00,05:03:00,20
2018-05-27,23,20,32,21,23,22,0.6,72,9.875,1017,16.75,25,17,21,113,113,116,0,6,14.5,météo favorable,20:05:00,05:03:00,20
2018-05-28,21,19,23,20,21,21,6.3,87,9.75,1018,31.875,21,18,20,353,353,176,0,6,12.5,météo correcte,20:06:00,05:02:00,20
2018-05-29,22,18,17,19,22,21,0,81,10,1017,22,25,17,19,113,113,116,0,6,14.5,météo favorable,20:07:00,05:01:00,18
2018-05-30,22,20,20,21,22,21,9,77,9.125,1015,30.625,25,18,21,116,356,356,0,6,14.5,météo correcte,20:07:00,05:01:00,20
2018-05-31,21,19,15,20,21,21,8.7,80,9,1019,18.25,24,17,20,176,356,113,0,5,14.5,météo correcte,20:08:00,05:00:00,19
